,business_id,date
18769,-Ijm5ICZUZffTo3iumczrw,2015-04-26 12:52:47
18770,-Ijm5ICZUZffTo3iumczrw,2015-05-01 16:56:13
18771,-Ijm5ICZUZffTo3iumczrw,2015-05-23 23:54:48
18772,-Ijm5ICZUZffTo3iumczrw,2015-09-08 17:48:22
18773,-Ijm5ICZUZffTo3iumczrw,2015-10-29 20:27:43
18774,-Ijm5ICZUZffTo3iumczrw,2015-11-06 15:25:50
18775,-Ijm5ICZUZffTo3iumczrw,2015-11-28 14:46:02
18776,-Ijm5ICZUZffTo3iumczrw,2017-01-12 00:52:12
18777,-Ijm5ICZUZffTo3iumczrw,2017-01-17 23:14:05
18778,-Ijm5ICZUZffTo3iumczrw,2017-01-19 01:13:40
18779,-Ijm5ICZUZffTo3iumczrw,2017-12-15 12:43:42
18780,-Ijm5ICZUZffTo3iumczrw,2017-12-21 23:30:44
18781,-Ijm5ICZUZffTo3iumczrw,2018-03-23 14:44:18
18782,-Ijm5ICZUZffTo3iumczrw,2018-09-29 15:00:11
18783,-Ijm5ICZUZffTo3iumczrw,2018-10-02 12:36:36
18784,-Ijm5ICZUZffTo3iumczrw,2019-10-31 15:06:19
18785,-Ijm5ICZUZffTo3iumczrw,2020-12-08 21:09:30
77006,-QwHN9KoluPcA0YFllwFYQ,2011-03-04 21:32:17
77007,-QwHN9KoluPcA0YFllwFYQ,2011-03-17 12:27:09
77008,-QwHN9KoluPcA0YFllwFYQ,2011-03-23 20:42:45
77009,-QwHN9KoluPcA0YFllwFYQ,2011-04-04 20:54:45
77010,-QwHN9KoluPcA0YFllwFYQ,2012-04-11 18:05:26
77011,-QwHN9KoluPcA0YFllwFYQ,2013-11-05 18:46:44
77012,-QwHN9KoluPcA0YFllwFYQ,2014-04-23 13:16:31
79190,-Tnsc_b8dsWuAq1wQugKZA,2012-02-04 17:22:51
79191,-Tnsc_b8dsWuAq1wQugKZA,2012-06-17 22:55:27
79192,-Tnsc_b8dsWuAq1wQugKZA,2012-06-23 23:30:05
79193,-Tnsc_b8dsWuAq1wQugKZA,2012-07-24 21:48:22
79194,-Tnsc_b8dsWuAq1wQugKZA,2012-08-17 23:07:32
79195,-Tnsc_b8dsWuAq1wQugKZA,2012-09-14 23:46:51
79196,-Tnsc_b8dsWuAq1wQugKZA,2012-09-16 01:16:19
79197,-Tnsc_b8dsWuAq1wQugKZA,2012-09-24 20:40:17
79198,-Tnsc_b8dsWuAq1wQugKZA,2012-10-20 00:38:42
79199,-Tnsc_b8dsWuAq1wQugKZA,2012-10-28 21:51:59
79200,-Tnsc_b8dsWuAq1wQugKZA,2013-02-23 00:18:55
79201,-Tnsc_b8dsWuAq1wQugKZA,2013-02-23 00:32:25
79202,-Tnsc_b8dsWuAq1wQugKZA,2013-03-07 23:19:36
79203,-Tnsc_b8dsWuAq1wQugKZA,2013-03-10 19:00:36
79204,-Tnsc_b8dsWuAq1wQugKZA,2013-03-20 18:30:51
79205,-Tnsc_b8dsWuAq1wQugKZA,2013-03-20 23:11:47
79206,-Tnsc_b8dsWuAq1wQugKZA,2013-03-27 21:07:27
79207,-Tnsc_b8dsWuAq1wQugKZA,2013-03-29 23:03:25
79208,-Tnsc_b8dsWuAq1wQugKZA,2013-04-05 22:08:02
79209,-Tnsc_b8dsWuAq1wQugKZA,2013-04-07 02:40:52
79210,-Tnsc_b8dsWuAq1wQugKZA,2013-04-20 17:09:00
